record_id,state,district,block_taluka,station_location,longitude,latitude,year,month,season,ph,ec_us_cm,tds_mg_l,cl_mg_l,no3_mg_l,so4_mg_l,f_mg_l,total_hardness_mg_l,fe_mg_l,as_ppb,u_ppb,rainfall_mm,rainfall_source,rainfall_year,health_value,health_indicator,health_source,health_year,water_source,water_year,data_availability_status,data_type,rainfall_anomaly,rainfall_change,anomaly_score,abnormal_pattern_flag,risk_score,health_risk_component,water_risk_component,env_risk_component,hist_risk_component,vuln_risk_component,abnormal_risk_component,risk_class
DEMO_REC_0130,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7846,26.1363,2022,July,Monsoon,7.66,1602.1,1041.4,170.6,86.4,154.5,0.54,282.5,0.22,3.18,6.63,476.0,Synthetic Environmental Simulation,2022,129,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,2.07,224.55,0.055,1,57.2,0.57,0.22,1.0,0.65,0.35,0.82,HIGH
DEMO_REC_0131,Assam,Cachar,Cachar Central,Cachar Station-2,92.7626,24.8806,2023,July,Monsoon,7.39,1117.6,726.4,158.6,24.8,129.7,0.77,334.9,0.09,4.28,6.36,173.8,Synthetic Environmental Simulation,2023,42,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.17,18.5,-0.115,0,24.4,0.19,0.03,0.54,0.25,0.35,0.18,LOW
DEMO_REC_0132,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.5801,27.1326,2024,July,Monsoon,7.26,1002.2,651.4,260.8,14.3,108.7,1.28,166.1,0.55,1.59,11.6,431.9,Synthetic Environmental Simulation,2024,49,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,1.79,194.48,-0.103,0,33.3,0.22,0.02,0.95,0.25,0.35,0.23,MODERATE
DEMO_REC_0133,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.1559,11.6385,2022,November,Post-Monsoon,7.07,963.6,626.3,129.7,28.2,150.4,0.62,251.6,0.13,0.18,4.32,74.2,Synthetic Environmental Simulation,2022,114,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.45,-49.41,-0.14,0,28.5,0.51,0.02,0.39,0.25,0.35,0.09,LOW
DEMO_REC_0134,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3729,16.2447,2023,November,Post-Monsoon,6.99,1422.2,924.4,193.6,42.6,142.8,1.14,270.1,0.19,5.0,2.37,25.5,Synthetic Environmental Simulation,2023,49,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.76,-82.61,-0.11,0,21.3,0.22,0.06,0.31,0.25,0.35,0.2,LOW
DEMO_REC_0135,Maharashtra,Latur,Latur Central,Latur Station-1,76.5906,18.4001,2024,November,Post-Monsoon,7.05,1194.3,776.3,176.6,14.4,133.6,1.76,227.8,0.52,3.0,5.49,45.8,Synthetic Environmental Simulation,2024,87,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.63,-68.77,-0.164,0,25.3,0.39,0.06,0.34,0.25,0.35,0.0,LOW
DEMO_REC_0136,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1789,11.6448,2022,May,Pre-Monsoon,7.26,1430.8,930.0,198.4,14.6,184.3,0.44,138.6,0.27,0.88,1.07,39.1,Synthetic Environmental Simulation,2022,108,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.68,-73.34,-0.149,0,33.6,0.48,0.06,0.33,0.65,0.35,0.05,MODERATE
DEMO_REC_0137,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.2271,13.0926,2023,May,Pre-Monsoon,6.72,754.4,490.4,185.7,46.0,63.1,1.48,242.8,0.26,2.69,0.87,43.7,Synthetic Environmental Simulation,2023,87,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.65,-70.2,-0.069,0,31.5,0.39,0.0,0.34,0.65,0.35,0.35,MODERATE
DEMO_REC_0138,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.9727,11.0578,2024,May,Pre-Monsoon,6.59,1428.6,928.6,147.3,97.2,55.9,1.46,346.4,0.18,2.34,2.99,49.6,Synthetic Environmental Simulation,2024,34,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.61,-66.18,0.019,1,27.6,0.15,0.25,0.35,0.25,0.35,0.68,LOW
DEMO_REC_0139,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.1338,9.9541,2022,July,Monsoon,6.88,1336.1,868.5,146.3,33.5,88.6,1.01,210.2,1.24,0.78,1.57,329.6,Synthetic Environmental Simulation,2022,41,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.15,124.73,-0.103,0,30.3,0.18,0.07,0.79,0.25,0.35,0.23,MODERATE
DEMO_REC_0140,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.6824,10.7545,2023,July,Monsoon,7.01,707.8,460.1,135.3,18.7,96.6,1.07,256.8,0.49,2.12,2.16,252.3,Synthetic Environmental Simulation,2023,68,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.66,72.02,-0.067,0,29.9,0.3,0.0,0.67,0.25,0.35,0.36,LOW
DEMO_REC_0141,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.2082,17.73,2024,July,Monsoon,7.29,936.8,608.9,140.2,15.5,119.4,1.35,360.7,1.48,0.35,0.96,196.0,Synthetic Environmental Simulation,2024,90,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.31,33.64,-0.114,0,36.9,0.4,0.05,0.58,0.65,0.35,0.18,MODERATE
DEMO_REC_0142,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.6651,16.5444,2022,November,Post-Monsoon,6.46,1494.5,971.4,214.4,6.8,134.7,0.3,340.8,0.01,5.13,0.89,55.7,Synthetic Environmental Simulation,2022,82,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.57,-62.02,-0.071,0,26.9,0.36,0.07,0.36,0.25,0.35,0.35,LOW
DEMO_REC_0143,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.4321,16.2951,2023,November,Post-Monsoon,6.84,1092.6,710.2,155.5,54.0,112.1,1.71,231.2,0.33,2.84,1.35,43.0,Synthetic Environmental Simulation,2023,96,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.65,-70.68,-0.082,0,34.2,0.43,0.08,0.34,0.65,0.35,0.3,MODERATE
DEMO_REC_0144,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.5622,14.6458,2024,November,Post-Monsoon,7.21,1094.6,711.5,190.5,15.5,179.0,1.54,303.8,0.18,0.22,1.53,83.0,Synthetic Environmental Simulation,2024,115,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.4,-43.41,-0.144,0,29.2,0.51,0.03,0.4,0.25,0.35,0.07,LOW
DEMO_REC_0145,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7421,26.1068,2022,May,Pre-Monsoon,7.71,896.8,582.9,201.4,39.1,184.4,0.71,224.1,0.11,3.89,1.77,55.6,Synthetic Environmental Simulation,2022,42,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.57,-62.09,-0.095,0,26.6,0.19,0.01,0.36,0.65,0.35,0.26,LOW
DEMO_REC_0146,Assam,Cachar,Cachar Central,Cachar Station-2,92.8048,24.8412,2023,May,Pre-Monsoon,7.4,1172.6,762.2,116.7,15.1,121.5,1.27,268.4,0.22,1.19,0.02,53.6,Synthetic Environmental Simulation,2023,109,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.58,-63.45,-0.153,0,27.5,0.48,0.03,0.35,0.25,0.35,0.04,LOW
DEMO_REC_0147,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.6296,27.1292,2024,May,Pre-Monsoon,7.69,1238.9,805.3,281.8,53.8,81.0,0.45,287.3,0.07,6.5,1.6,12.9,Synthetic Environmental Simulation,2024,29,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.84,-91.2,-0.069,0,19.9,0.13,0.07,0.29,0.25,0.35,0.35,LOW
DEMO_REC_0148,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.095,11.6842,2022,July,Monsoon,6.84,1055.2,685.9,48.8,41.6,77.3,1.79,215.3,0.28,0.41,0.09,328.5,Synthetic Environmental Simulation,2022,110,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.14,123.98,-0.093,0,37.8,0.49,0.05,0.79,0.25,0.35,0.26,MODERATE
DEMO_REC_0149,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3504,16.1916,2023,July,Monsoon,7.27,786.9,511.5,192.5,55.6,57.0,0.69,239.3,0.06,0.15,1.26,141.9,Synthetic Environmental Simulation,2023,106,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.03,-3.25,-0.027,0,32.4,0.47,0.04,0.49,0.25,0.35,0.51,MODERATE
DEMO_REC_0150,Maharashtra,Latur,Latur Central,Latur Station-1,76.6104,18.4171,2024,July,Monsoon,7.5,1313.5,853.8,215.5,15.0,149.9,0.75,359.9,0.19,3.28,0.48,262.9,Synthetic Environmental Simulation,2024,19,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.73,79.25,-0.111,0,25.2,0.08,0.05,0.68,0.25,0.35,0.2,LOW
DEMO_REC_0151,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1503,11.6619,2022,November,Post-Monsoon,7.3,1363.7,886.4,184.9,42.0,107.3,1.49,301.0,0.1,5.24,8.65,42.5,Synthetic Environmental Simulation,2022,62,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.65,-71.02,-0.13,0,28.8,0.28,0.05,0.34,0.65,0.35,0.12,LOW
DEMO_REC_0152,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.2962,13.0421,2023,November,Post-Monsoon,6.73,526.3,342.1,313.7,18.8,153.5,0.96,335.7,0.13,3.23,6.75,48.7,Synthetic Environmental Simulation,2023,105,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.61,-66.8,-0.053,0,33.9,0.47,0.0,0.35,0.65,0.35,0.41,MODERATE
DEMO_REC_0153,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.9886,11.0076,2024,November,Post-Monsoon,7.37,1722.2,1119.4,169.8,44.0,140.8,1.24,59.5,0.78,0.05,1.94,67.5,Synthetic Environmental Simulation,2024,68,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.5,-53.98,-0.06,0,26.3,0.3,0.08,0.38,0.25,0.35,0.39,LOW
DEMO_REC_0154,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.1331,9.9279,2022,May,Pre-Monsoon,7.58,1579.6,1026.7,190.6,28.6,180.4,1.49,370.7,0.02,0.01,8.3,16.2,Synthetic Environmental Simulation,2022,74,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.82,-88.95,-0.106,0,24.2,0.33,0.07,0.3,0.25,0.35,0.21,LOW
DEMO_REC_0155,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.7313,10.8064,2023,May,Pre-Monsoon,7.34,1574.6,1023.5,135.9,19.6,62.6,0.4,157.6,0.13,0.29,4.95,45.6,Synthetic Environmental Simulation,2023,30,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.63,-68.91,-0.13,0,19.8,0.13,0.07,0.34,0.25,0.35,0.13,LOW
DEMO_REC_0156,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.1798,17.705,2024,May,Pre-Monsoon,7.44,1034.3,672.3,202.4,31.4,93.6,1.3,312.0,0.15,0.87,0.5,38.2,Synthetic Environmental Simulation,2024,69,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.68,-73.95,-0.141,0,28.5,0.31,0.02,0.33,0.65,0.35,0.09,LOW
DEMO_REC_0157,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.6301,16.5468,2022,July,Monsoon,6.58,1153.6,749.8,181.2,21.2,167.6,0.48,181.8,0.66,1.75,1.79,482.0,Synthetic Environmental Simulation,2022,66,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,2.1,228.64,-0.041,0,37.7,0.29,0.03,1.0,0.25,0.35,0.46,MODERATE
DEMO_REC_0158,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.4391,16.3204,2023,July,Monsoon,7.7,652.3,424.0,206.2,16.8,59.2,0.48,297.0,0.15,0.43,6.41,358.5,Synthetic Environmental Simulation,2023,112,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,1.33,144.43,-0.016,0,45.1,0.5,0.0,0.83,0.65,0.35,0.55,MODERATE
DEMO_REC_0159,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.5778,14.7041,2024,July,Monsoon,6.85,1125.2,731.4,149.2,30.0,151.0,1.17,295.7,0.19,1.04,8.46,304.7,Synthetic Environmental Simulation,2024,23,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.99,107.75,-0.111,0,26.5,0.1,0.03,0.75,0.25,0.35,0.2,LOW
DEMO_REC_0160,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7175,26.1788,2022,November,Post-Monsoon,7.26,1291.9,839.7,168.7,23.2,146.5,1.75,299.9,0.2,1.23,3.0,33.3,Synthetic Environmental Simulation,2022,69,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.71,-77.3,-0.155,0,29.3,0.31,0.07,0.32,0.65,0.35,0.03,LOW
DEMO_REC_0161,Assam,Cachar,Cachar Central,Cachar Station-2,92.7456,24.7837,2023,November,Post-Monsoon,7.59,1632.6,1061.2,189.9,21.4,127.1,1.27,258.6,0.01,1.12,9.43,-11.7,Synthetic Environmental Simulation,2023,61,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.99,-107.98,-0.086,0,22.4,0.27,0.07,0.25,0.25,0.35,0.29,LOW
DEMO_REC_0162,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.6334,27.0611,2024,November,Post-Monsoon,7.21,1099.8,714.9,261.1,25.5,98.2,0.86,309.4,0.31,3.98,4.21,57.6,Synthetic Environmental Simulation,2024,48,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.56,-60.73,-0.153,0,20.7,0.21,0.03,0.36,0.25,0.35,0.04,LOW
DEMO_REC_0163,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.1751,11.6749,2022,May,Pre-Monsoon,7.35,994.4,646.4,278.2,15.1,155.1,1.47,318.8,0.24,0.26,3.49,50.8,Synthetic Environmental Simulation,2022,16,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.6,-65.36,-0.145,0,16.9,0.07,0.02,0.35,0.25,0.35,0.07,LOW
DEMO_REC_0164,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3087,16.1595,2023,May,Pre-Monsoon,7.13,1123.7,730.4,300.6,0.6,147.5,0.31,320.4,0.22,2.83,1.12,44.2,Synthetic Environmental Simulation,2023,42,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.64,-69.86,-0.11,0,20.5,0.19,0.03,0.34,0.25,0.35,0.2,LOW
DEMO_REC_0165,Maharashtra,Latur,Latur Central,Latur Station-1,76.5324,18.3855,2024,May,Pre-Monsoon,6.89,1247.5,810.9,112.3,4.5,53.9,0.81,225.6,0.4,0.63,3.08,80.4,Synthetic Environmental Simulation,2024,114,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.42,-45.18,-0.112,0,29.8,0.51,0.04,0.4,0.25,0.35,0.19,LOW
DEMO_REC_0166,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1839,11.6691,2022,July,Monsoon,7.94,1382.0,898.3,102.4,102.7,147.6,0.61,303.4,0.28,1.6,0.18,513.5,Synthetic Environmental Simulation,2022,168,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,2.3,250.12,0.089,1,63.0,0.75,0.25,1.0,0.65,0.35,0.94,HIGH
DEMO_REC_0167,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.3165,13.0385,2023,July,Monsoon,7.21,1280.7,832.5,149.2,6.1,131.9,1.47,205.4,0.26,0.4,5.0,203.2,Synthetic Environmental Simulation,2023,42,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.35,38.55,-0.11,0,31.8,0.19,0.04,0.59,0.65,0.35,0.2,MODERATE
DEMO_REC_0168,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.9868,11.0311,2024,July,Monsoon,7.83,1147.0,745.6,144.7,27.2,122.2,1.33,313.7,0.21,0.65,0.14,337.9,Synthetic Environmental Simulation,2024,47,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,1.2,130.39,-0.072,0,31.0,0.21,0.03,0.8,0.25,0.35,0.34,MODERATE
DEMO_REC_0169,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.1228,9.971,2022,November,Post-Monsoon,7.2,630.8,410.0,191.2,12.9,113.7,1.12,383.0,0.17,0.11,0.54,16.5,Synthetic Environmental Simulation,2022,47,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.82,-88.75,-0.08,0,19.9,0.21,0.0,0.3,0.25,0.35,0.31,LOW
DEMO_REC_0170,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.7542,10.7542,2023,November,Post-Monsoon,7.09,368.5,239.5,194.3,30.8,91.3,1.05,321.0,0.22,0.62,1.84,42.7,Synthetic Environmental Simulation,2023,32,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.65,-70.89,-0.017,0,20.3,0.14,0.0,0.34,0.25,0.35,0.55,LOW
DEMO_REC_0171,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.1758,17.6962,2024,November,Post-Monsoon,7.27,1214.5,789.4,150.9,29.8,134.9,1.44,281.4,0.05,1.62,3.8,59.4,Synthetic Environmental Simulation,2024,53,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.55,-59.5,-0.149,0,27.6,0.24,0.04,0.36,0.65,0.35,0.05,LOW
DEMO_REC_0172,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.694,16.5343,2022,May,Pre-Monsoon,6.68,1396.8,907.9,203.2,27.2,139.1,0.87,382.5,0.01,4.13,0.59,49.7,Synthetic Environmental Simulation,2022,69,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.61,-66.11,-0.12,0,24.1,0.31,0.05,0.35,0.25,0.35,0.16,LOW
DEMO_REC_0173,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.396,16.3296,2023,May,Pre-Monsoon,7.03,1176.9,765.0,167.6,73.4,93.5,1.68,162.5,1.5,0.11,4.29,18.1,Synthetic Environmental Simulation,2023,108,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.81,-87.66,-0.054,0,38.0,0.48,0.19,0.3,0.65,0.35,0.41,MODERATE
DEMO_REC_0174,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.6457,14.7237,2024,May,Pre-Monsoon,6.56,546.7,355.4,200.3,40.0,64.7,0.84,189.2,0.06,6.26,0.32,59.6,Synthetic Environmental Simulation,2024,24,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.55,-59.36,-0.014,0,20.0,0.11,0.0,0.36,0.25,0.35,0.56,LOW
DEMO_REC_0175,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7614,26.1785,2022,July,Monsoon,7.38,897.3,583.2,106.9,49.9,52.3,0.79,406.7,0.55,0.39,1.69,627.8,Synthetic Environmental Simulation,2022,147,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,3.02,328.05,0.021,1,53.8,0.65,0.03,1.0,0.65,0.35,0.69,HIGH
DEMO_REC_0176,Assam,Cachar,Cachar Central,Cachar Station-2,92.7787,24.8309,2023,July,Monsoon,6.99,1343.2,873.1,224.3,5.7,105.3,0.61,280.8,0.16,4.16,5.42,383.9,Synthetic Environmental Simulation,2023,75,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,1.49,161.75,-0.097,0,35.5,0.33,0.05,0.87,0.25,0.35,0.25,MODERATE
DEMO_REC_0177,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.6474,27.1227,2024,July,Monsoon,7.62,1031.9,670.7,242.4,0.3,132.9,0.89,266.5,0.24,1.9,2.68,304.4,Synthetic Environmental Simulation,2024,71,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.99,107.55,-0.06,0,32.6,0.32,0.02,0.75,0.25,0.35,0.39,MODERATE
DEMO_REC_0178,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.1046,11.7327,2022,November,Post-Monsoon,6.98,819.5,532.7,240.9,7.5,148.7,1.57,150.6,0.12,3.12,5.09,31.4,Synthetic Environmental Simulation,2022,92,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.72,-78.59,-0.112,0,25.1,0.41,0.01,0.32,0.25,0.35,0.19,LOW
DEMO_REC_0179,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.33,16.1701,2023,November,Post-Monsoon,7.48,937.1,609.1,187.1,6.8,172.4,0.33,242.2,0.09,1.82,0.94,38.5,Synthetic Environmental Simulation,2023,31,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.68,-73.75,-0.125,0,18.4,0.14,0.01,0.33,0.25,0.35,0.14,LOW
DEMO_REC_0180,Maharashtra,Latur,Latur Central,Latur Station-1,76.5401,18.419,2024,November,Post-Monsoon,8.12,1539.6,1000.7,279.8,35.2,228.8,0.85,361.1,0.19,6.35,3.56,64.9,Synthetic Environmental Simulation,2024,53,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.51,-55.75,-0.037,0,24.6,0.24,0.07,0.37,0.25,0.35,0.47,LOW
DEMO_REC_0181,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1305,11.6993,2022,May,Pre-Monsoon,7.05,1039.1,675.4,202.7,8.7,145.8,0.95,365.6,0.24,0.93,1.98,-3.7,Synthetic Environmental Simulation,2022,82,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.94,-102.52,-0.115,0,29.1,0.36,0.02,0.26,0.65,0.35,0.18,LOW
